,id,rating,recommend,clean_texts
0,0,4,1,absolutely wonderful silky sexy comfortable
1,1,5,1,love dress pretty find store glad never would ordered petite bought petite love length little knee would definitely true someone truly petite
2,2,3,0,high dress really work initially ordered petite small usual size found outrageously small small fact could zip petite medium overall top half comfortable fit nicely bottom half tight layer several somewhat cheap net major design flaw net layer sewn directly zipper c
3,3,5,1,love love love fun flirty fabulous every time wear get nothing great
4,4,5,1,shirt flattering due adjustable front tie perfect length wear sleeveless well cardigan love shirt
5,5,2,0,love reese one petite tall usually wear brand dress pretty package lot dress skirt long full small frame stranger shortening skirt would take away embellishment garment love color idea style work returned dress
6,6,5,1,basket last see would look like person store pick went color pale color really gorgeous turns trying prefectly little baggy size bummer petite decided though said everything pants trying kept
7,7,4,1,ordered carbon store pick ton stuff always try used top pair pants everything went color really nice charcoal shimmer went well pencil flare pants bit big long doesnt go petite also bit loose kept later since light color already sold size
8,8,5,1,love dress usually get little snug bust ordered size flattering feminine usual retailer flair style
9,9,5,1,ordered petite make sure length wasnt long typically wear regular retailer less cup smaller petite fit perfectly snug tight love could dress party work love tulle longer fabric underneath
10,10,3,0,dress small zipper area ordered typically tight material top cheap even cause rip fabric pretty disappointed going dress year needless say going back
11,11,5,1,dress perfection pretty flattering
12,12,5,1,find reliant written savvy past right estimation product case doubt would even tried dress beautifully made lined reminiscent old retailer quality lined solid fabric outer fabric print knee rid
13,13,5,1,bought black go larkspur dress didnt bother lining skirt portion fit smoothly around chest around lower half would say running big pretty could easily nightwear came
14,14,3,1,nice choice holiday like length knee conservative enough office related size small fit well usually size small bust opinion small definitely size perhaps waist big problem dress quality terrible delicate netting type fabric top layer skirt got stuck zip
15,15,4,1,took package fit badly could tell put wouldnt hourglass figure straight waist way small body shape even sized could tell would still tight waist roomy said really nice sturdy fabric pretty color well made hope make someone happy
16,16,3,1,material color nice leg opening large length right ankle leg opening size waist hem line ankle front make fluffy think imagine flattering look least average height taller may look good
17,17,5,1,took chance blouse glad wasnt crazy blouse model paired whit white pants worked perfectly crisp clean would describe well great drape perfect wear cant go wrong
18,18,5,1,flattering super cozy coat work well cold dry days look good jeans outfit small great
19,19,5,1,love look feel tulle dress looking something different top new eve small top dress form fitting flattering look tulle perfect ordered length perfect
20,20,4,1,product petite would get petite regular little long tailor simple fix nicely pregnant bough medium grow tie front back nice flexibility form fitting
21,21,4,1,upset price dress thought print fabric think cried little box still pretty would say true size tad bit big tiny still get away color vibrant style unique skirt portion pretty keep going back forth mainly price although quality definitely except wish
22,22,2,0,first styling side zipper wouldnt knew side zipper large bust side next impossible second tulle cheap slip awkward tight shape underneath like sadly sure find something exchange
23,23,3,1,cute little dress little high waisted good length height like dress love dont think cheap pictured
24,24,5,1,love shirt first saw wasnt sure shirt dress since wear like dress need slip wear bought slip wore tie back white could also wear vest careful buttons havent fall yet feel like overall great occasion fun wear
